"Year"	"Blah"	"Month"	"Date"	"SP"	"GS10"	"CPI"	"SP.1.Month.Ago"	"SP.7.Months.Ago"	"SP.13.Months.Ago"	"GS10.1.Month.Ago"	"GS10.7.Months.Ago"	"GS10.13.Months.Ago"	"Trailing.Earnings.Yield"	"Dividend.Yield"	"Dividend.Yield.1.Month.Ago"	"CPI.1.Month.Ago"	"CP.13.Months.Ago"	"SP.Change.7.1"	"SP.Change.13.7"	"SP.Change.1.0"	"GS10.NPV.Change.7.1"	"GS10.NPV.Change.13.7"	"GS10.NPV.Change.1.0"	"Log.SP.Change.1.0"	"Log.GS10.NPV.Change.1.0"	"SP.Return.1.0"	"GS10.Return.1.0"	"Log.SP.Return.1.0"	"Log.GS10.Return.1.0"
1990	3	3	"1990-3-01"	338.46	0.0859	128.7	330.45	346.6	294	0.0847	0.0811	0.0917	0.08527502562	0.03344560657	0.03398396126	128	121.6	0.953404500865551	1.17891156462585	1.02423967317295	0.976347540364606	1.07077531158163	0.992157858489639	0.0239505550634779	-0.00787305281537056	1.02707166994461	0.999216191822972	0.0267117142414155	-0.000784115515263775
1990	4	4	"1990-4-01"	338.18	0.0879	128.9	338.46	347.3	292.7	0.0859	0.0819	0.0936	0.08285378763	0.03381838074	0.03344560657	128.7	122.3	0.974546501583645	1.18653911855142	0.99917272351238	0.973859528298797	1.07783957014256	0.987045185448179	-0.000827618869656513	-0.0130394600006292	1.00195985739321	0.994203518781512	0.00195793937832718	-0.00581334601832088
1990	5	5	"1990-5-01"	350.25	0.0876	129.2	338.18	347.4	302.3	0.0879	0.0801	0.0918	0.08006785601	0.03298586724	0.03381838074	128.9	123.1	0.973459988485895	1.14918954680781	1.03569105210243	0.949476223247899	1.07847255386245	1.00194580401422	0.0350688871068334	0.00194391338971276	1.03850925049743	1.00927080401422	0.0377862718508631	0.00922809387927637
1990	6	6	"1990-6-01"	360.39	0.0848	129.9	350.25	340.2	313.9	0.0876	0.0787	0.0886	0.07791164659	0.0323538389	0.03298586724	129.2	123.8	1.02954144620811	1.08378464479133	1.02895074946467	0.942274480911563	1.06682109341211	1.01838815752871	0.0285395931842771	0.0182211396866808	1.03169957173467	1.02568815752871	0.0312075120176499	0.0253637605189465
1990	7	7	"1990-7-01"	360.03	0.0847	130.4	360.39	348.6	323.7	0.0848	0.0784	0.0828	0.07445013558	0.03257145238	0.0323538389	129.9	124.1	1.03382099827883	1.07692307692308	0.999001082160992	0.957969925648668	1.02973862007997	1.00065701276765	-0.000999417089933746	0.000656797029251389	1.00169723540266	1.00772367943432	0.00169579672627126	0.00769400452403247
1990	8	8	"1990-8-01"	330.75	0.0875	131.6	360.03	339.97	331.9	0.0847	0.0821	0.0802	0.06982111945	0.03562600151	0.03257145238	130.4	124.4	1.05900520634174	1.02431455257608	0.918673443879677	0.982917668041104	0.987370728315652	0.981831119131759	-0.0848245583163946	-0.0183359618615525	0.92138773157801	0.988889452465093	-0.0818743415483338	-0.011172730689767
1990	9	9	"1990-9-01"	315.41	0.0889	132.7	330.75	330.45	346.6	0.0875	0.0847	0.0811	0.06821192053	0.03750673726	0.03562600151	131.6	124.6	1.00090785292783	0.953404500865551	0.953620559334845	0.981831119131759	0.976347540364606	0.990971612990731	-0.0474894231982941	-0.00906938987500167	0.956589392794012	0.998263279657398	-0.0443810362418964	-0.00173823018975114
1990	1	10	"1990-10-01"	307.12	0.0872	133.5	315.41	338.46	347.3	0.0889	0.0859	0.0819	0.0674343696	0.03883400625	0.03750673726	132.7	125	0.931897417715535	0.974546501583645	0.973716749627469	0.980653456408709	0.973859528298797	1.01104577686885	-0.0266348291042288	0.0109852178153097	0.976842311065802	1.01845411020218	-0.0234300411268218	0.0182858994126003
1990	11	11	"1990-11-01"	315.29	0.0839	133.8	307.12	338.18	347.4	0.0872	0.0879	0.0801	0.06808730159	0.03810238193	0.03883400625	133.5	125.6	0.908155420190431	0.973459988485895	1.02660197968221	1.00454826106365	0.949476223247899	1.02175897599842	0.0262542995293182	0.0215256283499353	1.02983814686971	1.02902564266509	0.0294016509324768	0.0286123765269213
1990	12	12	"1990-12-01"	328.75	0.0808	133.8	315.29	350.25	340.2	0.0839	0.0876	0.0787	0.06560527826	0.0367756654	0.03810238193	133.8	125.9	0.900185581727338	1.02954144620811	1.0426908560373	1.02439642763459	0.942274480911563	1.0207264019416	0.0418047332701138	0.0205145325977336	1.04586605453147	1.02771806860827	0.0448453025017596	0.0273408770923406
