Country Name	Country Code	Series Name	Series Code	2016 [YR2016]
United States	USA	Male population 60-64	SP.POP.6064.MA	9384748
United States	USA	Male population 65-69	SP.POP.6569.MA	7715174
United States	USA	Male population 70-74	SP.POP.7074.MA	5403876
United States	USA	Male population 75-79	SP.POP.7579.MA	3769460
United States	USA	Male population 80+	SP.POP.80UP.MA	4686438
United Kingdom	GBR	Female population 00-04	SP.POP.0004.FE	1945392
United Kingdom	GBR	Female population 05-09	SP.POP.0509.FE	1950779
United Kingdom	GBR	Female population 10-14	SP.POP.1014.FE	1746108
United Kingdom	GBR	Female population 15-19	SP.POP.1519.FE	1819740
United Kingdom	GBR	Female population 20-24	SP.POP.2024.FE	2017044
United Kingdom	GBR	Female population 25-29	SP.POP.2529.FE	2198976
United Kingdom	GBR	Female population 30-34	SP.POP.3034.FE	2231510
United Kingdom	GBR	Female population 35-39	SP.POP.3539.FE	2116518
United Kingdom	GBR	Female population 40-44	SP.POP.4044.FE	2115449
United Kingdom	GBR	Female population 45-49	SP.POP.4549.FE	2319513
United Kingdom	GBR	Female population 50-54	SP.POP.5054.FE	2355040
United Kingdom	GBR	Female population 60-64	SP.POP.6064.FE	1795030
United Kingdom	GBR	Female population 55-59	SP.POP.5559.FE	2079671
United Kingdom	GBR	Female population 65-69	SP.POP.6569.FE	1870304
United Kingdom	GBR	Female population 70-74	SP.POP.7074.FE	1508520
United Kingdom	GBR	Female population 75-79	SP.POP.7579.FE	1187158
United Kingdom	GBR	Female population 80+	SP.POP.80UP.FE	1990806
United Kingdom	GBR	Male population 00-04	SP.POP.0004.MA	2042753
United Kingdom	GBR	Male population 05-09	SP.POP.0509.MA	2042172
United Kingdom	GBR	Male population 10-14	SP.POP.1014.MA	1829930
United Kingdom	GBR	Male population 15-19	SP.POP.1519.MA	1906249
United Kingdom	GBR	Male population 20-24	SP.POP.2024.MA	2103871
United Kingdom	GBR	Male population 25-29	SP.POP.2529.MA	2238106
United Kingdom	GBR	Male population 30-34	SP.POP.3034.MA	2214366
United Kingdom	GBR	Male population 35-39	SP.POP.3539.MA	2104085
United Kingdom	GBR	Male population 40-44	SP.POP.4044.MA	2084237
United Kingdom	GBR	Male population 45-49	SP.POP.4549.MA	2256461
United Kingdom	GBR	Male population 50-54	SP.POP.5054.MA	2286019
United Kingdom	GBR	Male population 55-59	SP.POP.5559.MA	2026726
United Kingdom	GBR	Male population 60-64	SP.POP.6064.MA	1732685
United Kingdom	GBR	Male population 65-69	SP.POP.6569.MA	1770691
United Kingdom	GBR	Male population 70-74	SP.POP.7074.MA	1381448
United Kingdom	GBR	Male population 75-79	SP.POP.7579.MA	1018460
United Kingdom	GBR	Male population 80+	SP.POP.80UP.MA	1309748
France	FRA	Female population 00-04	SP.POP.0004.FE	1935100
France	FRA	Female population 05-09	SP.POP.0509.FE	2003031
France	FRA	Female population 10-14	SP.POP.1014.FE	1989845
France	FRA	Female population 15-19	SP.POP.1519.FE	1937175
France	FRA	Female population 20-24	SP.POP.2024.FE	1880584
France	FRA	Female population 25-29	SP.POP.2529.FE	1961295
France	FRA	Female population 30-34	SP.POP.3034.FE	2055198
France	FRA	Female population 35-39	SP.POP.3539.FE	1992636
France	FRA	Female population 40-44	SP.POP.4044.FE	2196705
France	FRA	Female population 45-49	SP.POP.4549.FE	2252202
France	FRA	Female population 50-54	SP.POP.5054.FE	2256479
France	FRA	Female population 60-64	SP.POP.6064.FE	2094278
France	FRA	Female population 55-59	SP.POP.5559.FE	2169145
France	FRA	Female population 65-69	SP.POP.6569.FE	2081481
France	FRA	Female population 70-74	SP.POP.7074.FE	1390132
France	FRA	Female population 75-79	SP.POP.7579.FE	1206727
France	FRA	Female population 80+	SP.POP.80UP.FE	2594699
France	FRA	Male population 00-04	SP.POP.0004.MA	2033761
France	FRA	Male population 05-09	SP.POP.0509.MA	2102831
France	FRA	Male population 10-14	SP.POP.1014.MA	2086697
France	FRA	Male population 15-19	SP.POP.1519.MA	2028119
France	FRA	Male population 20-24	SP.POP.2024.MA	1965216
France	FRA	Male population 25-29	SP.POP.2529.MA	2042143
France	FRA	Male population 30-34	SP.POP.3034.MA	2131289
France	FRA	Male population 35-39	SP.POP.3539.MA	2069031
France	FRA	Male population 40-44	SP.POP.4044.MA	2242481
France	FRA	Male population 45-49	SP.POP.4549.MA	2263494
France	FRA	Male population 50-54	SP.POP.5054.MA	2227184
France	FRA	Male population 55-59	SP.POP.5559.MA	2061862
France	FRA	Male population 60-64	SP.POP.6064.MA	1947107
France	FRA	Male population 65-69	SP.POP.6569.MA	1915415
France	FRA	Male population 70-74	SP.POP.7074.MA	1279404
France	FRA	Male population 75-79	SP.POP.7579.MA	991633
France	FRA	Male population 80+	SP.POP.80UP.MA	1475389
Germany	DEU	Female population 00-04	SP.POP.0004.FE	1740349
Germany	DEU	Female population 05-09	SP.POP.0509.FE	1716456
Germany	DEU	Female population 10-14	SP.POP.1014.FE	1791497
Germany	DEU	Female population 15-19	SP.POP.1519.FE	1977303
Germany	DEU	Female population 20-24	SP.POP.2024.FE	2198735
Germany	DEU	Female population 25-29	SP.POP.2529.FE	2557640
Germany	DEU	Female population 30-34	SP.POP.3034.FE	2564882
Germany	DEU	Female population 35-39	SP.POP.3539.FE	2402584
Germany	DEU	Female population 40-44	SP.POP.4044.FE	2490622
Germany	DEU	Female population 45-49	SP.POP.4549.FE	3257334
Germany	DEU	Female population 50-54	SP.POP.5054.FE	3471796
Germany	DEU	Female population 60-64	SP.POP.6064.FE	2705628
Germany	DEU	Female population 55-59	SP.POP.5559.FE	3103996
Germany	DEU	Female population 65-69	SP.POP.6569.FE	2222025
Germany	DEU	Female population 70-74	SP.POP.7074.FE	2176911
Germany	DEU	Female population 75-79	SP.POP.7579.FE	2332267
Germany	DEU	Female population 80+	SP.POP.80UP.FE	3111964
Germany	DEU	Male population 00-04	SP.POP.0004.MA	1835190
Germany	DEU	Male population 05-09	SP.POP.0509.MA	1809022
Germany	DEU	Male population 10-14	SP.POP.1014.MA	1886489
Germany	DEU	Male population 15-19	SP.POP.1519.MA	2110318
Germany	DEU	Male population 20-24	SP.POP.2024.MA	2350346
Germany	DEU	Male population 25-29	SP.POP.2529.MA	2671339
Germany	DEU	Male population 30-34	SP.POP.3034.MA	2634661
Germany	DEU	Male population 35-39	SP.POP.3539.MA	2458604
Germany	DEU	Male population 40-44	SP.POP.4044.MA	2540605
Germany	DEU	Male population 45-49	SP.POP.4549.MA	3330695
Germany	DEU	Male population 50-54	SP.POP.5054.MA	3559609
Germany	DEU	Male population 55-59	SP.POP.5559.MA	3104976
Germany	DEU	Male population 60-64	SP.POP.6064.MA	2562765
Germany	DEU	Male population 65-69	SP.POP.6569.MA	2075283
Germany	DEU	Male population 70-74	SP.POP.7074.MA	1945440
Germany	DEU	Male population 75-79	SP.POP.7579.MA	1865554
Germany	DEU	Male population 80+	SP.POP.80UP.MA	1785784
Italy	ITA	Female population 00-04	SP.POP.0004.FE	1227714
Italy	ITA	Female population 05-09	SP.POP.0509.FE	1380401
Italy	ITA	Female population 10-14	SP.POP.1014.FE	1397895
Italy	ITA	Female population 15-19	SP.POP.1519.FE	1386454
Italy	ITA	Female population 20-24	SP.POP.2024.FE	1439453
Italy	ITA	Female population 25-29	SP.POP.2529.FE	1513770
Italy	ITA	Female population 30-34	SP.POP.3034.FE	1643326
Italy	ITA	Female population 35-39	SP.POP.3539.FE	1924035
Italy	ITA	Female population 40-44	SP.POP.4044.FE	2309981
Italy	ITA	Female population 45-49	SP.POP.4549.FE	2474915
Italy	ITA	Female population 50-54	SP.POP.5054.FE	2455896
Italy	ITA	Female population 60-64	SP.POP.6064.FE	1965815
