file	source	link
ici_fund_fees.tsv	ICI RESEARCH PERSPECTIVE MARCH 2019 // VOL. 25, NO. 1	https://www.ici.org/pdf/per25-01.pdf
sec_fund_fees.tsv	Division of Investment Management: Report on Mutual Fund Fees and Expenses, December 2000	https://www.sec.gov/news/studies/feestudy.htm#item15
