												
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated"										Cyclically		
Robert J. Shiller 										Adjusted		
										Price		
				  Consumer						Earnings		
	S&P			Price		Long				Ratio		
	Comp.	Dividend	Earnings	Index	Date  	Interest	Real	Real	Real	P/E10 or		
Date	P	D	E	CPI	Fraction	Rate GS10	Price	Dividend	Earnings	CAPE		
1876.06	4.15	0.30	0.32	10.09	1876.46	4.53	103.97	7.52	8.02	NA		
1876.07	4.10	0.30	0.31	10.09	1876.54	4.52	102.71	7.52	7.85	NA		
1876.08	3.93	0.30	0.31	10.18	1876.62	4.51	97.53	7.45	7.61	NA		
1876.09	3.69	0.30	0.30	10.28	1876.71	4.50	90.73	7.38	7.38	NA		
1876.1	3.67	0.30	0.29	10.47	1876.79	4.49	88.60	7.24	7.08	NA		
1876.11	3.60	0.30	0.29	10.56	1876.87	4.47	86.12	7.18	6.86	NA		
1876.12	3.58	0.30	0.28	10.75	1876.96	4.46	84.13	7.05	6.58	NA		
1877.01	3.55	0.29	0.28	10.94	1877.04	4.45	81.97	6.71	6.50	NA		
1877.02	3.34	0.28	0.28	10.66	1877.12	4.44	79.19	6.68	6.72	NA		
1877.03	3.17	0.27	0.29	10.18	1877.21	4.43	78.67	6.76	7.07	NA		
1877.04	2.94	0.26	0.29	10.47	1877.29	4.42	70.97	6.36	6.92	NA		
1877.05	2.94	0.25	0.29	10.66	1877.37	4.41	69.71	6.03	6.84	NA		
1877.06	2.73	0.25	0.29	10.09	1877.46	4.40	68.39	6.14	7.27	NA		
1877.07	2.85	0.24	0.29	10.18	1877.54	4.40	70.73	5.85	7.24	NA		
1877.08	3.05	0.23	0.29	9.80	1877.62	4.39	78.63	5.84	7.56	NA		
1877.09	3.24	0.22	0.30	9.70	1877.71	4.38	84.35	5.66	7.68	NA		
1877.1	3.31	0.21	0.30	9.70	1877.79	4.37	86.17	5.42	7.72	NA		
1877.11	3.26	0.20	0.30	9.51	1877.87	4.36	86.57	5.29	7.92	NA		
1877.12	3.25	0.19	0.30	9.51	1877.96	4.35	86.30	5.05	7.97	NA		
1878.01	3.25	0.19	0.30	9.23	1878.04	4.34	88.97	5.18	8.23	NA		
1878.02	3.18	0.19	0.30	9.13	1878.12	4.33	87.96	5.21	8.35	NA		
1878.03	3.24	0.19	0.30	8.94	1878.21	4.32	91.53	5.30	8.55	NA		
1878.04	3.33	0.19	0.30	8.85	1878.29	4.31	95.08	5.33	8.66	NA		
1878.05	3.34	0.19	0.30	8.56	1878.37	4.30	98.55	5.48	8.98	NA		
1878.06	3.41	0.19	0.31	8.37	1878.46	4.29	102.90	5.58	9.20	NA		
1878.07	3.48	0.18	0.31	8.47	1878.54	4.28	103.83	5.50	9.12	NA		
1878.08	3.45	0.18	0.31	8.56	1878.62	4.27	101.79	5.41	9.05	NA		
1878.09	3.52	0.18	0.31	8.56	1878.71	4.26	103.86	5.38	9.07	NA		
1878.1	3.48	0.18	0.31	8.47	1878.79	4.25	103.83	5.42	9.20	NA		
1878.11	3.47	0.18	0.31	8.37	1878.87	4.24	104.71	5.46	9.33	NA		
1878.12	3.45	0.18	0.31	8.18	1878.96	4.23	106.53	5.56	9.57	NA		
1879.01	3.58	0.18	0.32	8.28	1879.04	4.22	109.27	5.55	9.64	NA		
1879.02	3.71	0.18	0.32	8.37	1879.12	4.20	111.95	5.53	9.71	NA		
1879.03	3.65	0.19	0.33	8.28	1879.21	4.19	111.41	5.65	10.00	NA		
1879.04	3.77	0.19	0.33	8.18	1879.29	4.17	116.41	5.76	10.29	NA		
1879.05	3.94	0.19	0.34	8.18	1879.37	4.15	121.66	5.81	10.47	NA		
1879.06	3.96	0.19	0.35	8.09	1879.46	4.14	123.71	5.94	10.78	NA		
1879.07	4.04	0.19	0.35	8.18	1879.54	4.12	124.75	5.92	10.83	NA		
1879.08	4.07	0.19	0.36	8.18	1879.62	4.10	125.67	5.97	11.01	NA		
1879.09	4.22	0.20	0.36	8.47	1879.71	4.09	125.91	5.82	10.82	NA		
1879.1	4.68	0.20	0.37	8.94	1879.79	4.07	132.21	5.56	10.40	NA		
1879.11	4.93	0.20	0.37	9.42	1879.87	4.05	132.24	5.32	10.04	NA		
1879.12	4.92	0.20	0.38	9.70	1879.96	4.04	128.09	5.21	9.89	NA		
1880.01	5.11	0.21	0.39	9.99	1880.04	4.02	129.23	5.18	9.84	NA		
1880.02	5.20	0.21	0.40	9.99	1880.12	3.99	131.51	5.31	10.07	NA		
1880.03	5.30	0.22	0.41	10.09	1880.21	3.97	132.78	5.39	10.21	NA		
1880.04	5.18	0.22	0.42	9.70	1880.29	3.94	134.86	5.73	10.85	NA		
1880.05	4.77	0.23	0.43	9.42	1880.37	3.91	127.95	6.04	11.42	NA		
1880.06	4.79	0.23	0.44	9.23	1880.46	3.89	131.13	6.30	11.91	NA		
1880.07	5.01	0.24	0.44	9.23	1880.54	3.86	137.16	6.43	12.16	NA		
1880.08	5.19	0.24	0.45	9.23	1880.62	3.83	142.08	6.57	12.41	NA		
1880.09	5.18	0.25	0.46	9.32	1880.71	3.81	140.36	6.64	12.53	NA		
1880.1	5.33	0.25	0.47	9.32	1880.79	3.78	144.43	6.77	12.78	NA		
